Skip to content|跳到正文
AlignSpace home|AlignSpace 首页
AlignSpace · Design alignment workspace|AlignSpace · 设计想法对齐空间
Main navigation|主导航
Explore homes|浏览家居
How we align|如何对齐
SG essentials|新加坡居住指南
My room brief|我的空间简报
SINGAPORE HOMES. YOUR KIND OF SPACE.|新加坡的家，属于你的空间。
Make “I like this”|让「我喜欢这样」
clear enough to design.|成为清楚的设计方向。
Not sure what you like yet? Explore real Singapore homes, notice the details that move you, and build a clearer brief with your designer.|还不确定喜欢什么？浏览真实的新加坡住宅，发现让你心动的细节，与设计师一起整理清楚的需求。
Find my inspiration|寻找我的灵感
I’m ready to start →|我准备好了 →
Your point of view|你的独特想法
HOME SPOTLIGHT|本期精选
Explore the material detail|查看材质细节
LOOK A LITTLE CLOSER|再看近一点
Love a detail? Start there.|喜欢某个细节？就从这里开始。
Save the home, then tell your designer what caught your eye.|收藏这个家，然后告诉设计师是什么打动了你。
4-room BTO · 95 m² · Completed 2022|四房式预购组屋 · 95 平方米 · 2022 年完工
Design / photo: SHE Interior via Qanvast ↗|设计与摄影：SHE Interior，来源 Qanvast ↗
YOUR HOME,|你的家，
YOUR RULES.|你的主张。
✦ A little browsing. A lot more clarity.|✦ 多看一点，让想法更清楚。
Real homes|真实住宅
Shared understanding|共同理解
Local know-how|本地经验
THE SINGAPORE EDIT|新加坡家居精选
Find your|找到让你说出
“that’s the one.”|「就是它了」的家。
Real renovated homes. Explore colours, materials and the way a room feels.|真实装修案例，探索色彩、材质与空间感受。
♡ Saved|♡ 已收藏
♥ Saved|♥ 已收藏
♡ Save|♡ 收藏
What catches your eye?|什么让你心动？
Try warm wood, Japandi, colourful…|试试暖色木材、日式北欧、缤纷色彩…
All styles|所有风格
Search more homes ↗|搜索更多住宅 ↗
All homes|所有住宅
Filter homes by property type|按房屋类型筛选
Explore all results at the source ↗|查看来源网站的全部结果 ↗
Loading the Singapore collection…|正在加载新加坡住宅精选…
Show the full collection ↓|展开全部案例 ↓
Images and project labels are credited to their original creators. Style cues are conversation prompts: choose the details you like, and leave the rest.|图片与案例信息归原作者所有。风格观察仅帮助讨论：选出喜欢的细节，其余可以略过。
Compare homes ↗|对比住宅 ↗
Clear|清空
BUILT AROUND LIFE HERE|为这里的生活而设计
A little Singapore know-how.|了解一点新加坡居住常识。
HOME TYPES|房屋类型
Start with your floor plan.|从你的平面图开始。
HDB offers different flat types, including 2-room Flexi, 3-, 4- and 5-room homes. Explore the official guide, then check your own unit’s layout.|组屋有二房式灵活单位以及三、四、五房式等类型。查看官方指南后，再核对自己住宅的实际布局。
Explore HDB flat types ↗|查看组屋房型指南 ↗
TROPICAL LIVING|热带生活
Design for the everyday.|为日常生活而设计。
Singapore’s mean annual humidity is around 82%. A useful design conversation: airflow, easy-care materials and how you use air-conditioning.|新加坡年平均湿度约为 82%。设计时可以讨论通风、易打理材料以及空调使用习惯。
Climate facts from MSS ↗|查看气象署气候资料 ↗
BEFORE YOU RENOVATE|装修之前
Find the right expertise.|寻找合适的专业支持。
Use HDB’s Directory of Renovation Contractors to research your team. Discuss the proposed scope and relevant approvals before committing to works.|可以通过建屋发展局装修承包商名录了解团队。施工前，应讨论工程范围与相关审批。
HDB contractor guidance ↗|查看组屋装修承包商指南 ↗
THE PROCESS|对齐过程
Good design starts|好的设计，
with understanding.|始于理解。
01 / COLLECT|01 / 收集
Bring what moves you.|带来让你心动的细节。
A room, a texture, a few words. Share the details you love, and the ones you don’t.|一个空间、一种纹理、几句话。分享你喜欢和不喜欢的细节。
02 / CLARIFY|02 / 澄清
Make room for both views.|让双方的想法都被理解。
Explore your preferences. Let your designer bring space, care and everyday activities into focus.|探索你的偏好，让设计师补充空间、养护和日常活动的考虑。
03 / ALIGN|03 / 对齐
Leave on the same page.|带着共同理解进入下一步。
Review and approve one shared brief. A thoughtful starting point for your space.|共同审阅并确认同一份简报，为你的空间建立清楚的起点。
YOUR NEXT CHAPTER|你的下一步
A space that feels|一个让你觉得
like|真正属于
 you.|你的空间。
You don’t need the right design words.|不需要掌握专业设计词汇。
Just a place to start.|只需要一个开始。
LINEN / OAK / OLIVE / STONE|亚麻 / 橡木 / 橄榄绿 / 石材
Every suggestion is yours to keep, change or leave behind.|每一条建议，都由你决定保留、修改或放下。
Start a living-room project|开始你的客厅项目
Let’s make it clear.|一起把想法说明白。
About 10 minutes. No design vocabulary needed. You can change your answers later.|先聊一轮，每轮最多十题，再由你决定是否深入。无需设计词汇，之后可以修改答案。
Project name|项目名称
Housing type|房屋类型
Add my|将我收藏的
saved home links to this brief|个住宅链接加入简报
Links are starting points for discussion. You’ll choose which details you actually like.|链接只是讨论的起点，具体喜欢哪些细节由你来选择。
I have the right to use uploaded references and consent to AI-assisted analysis for this project.|我有权使用上传的参考资料，并同意本项目进行 AI 辅助分析。
Start my room brief|开始我的空间简报
View a finished example ↗|查看完成示例 ↗
Try a guided sample ↗|体验引导示例 ↗
Start as the homeowner. Invite your designer with a private link when ready. To try both roles yourself, open the invitation in a separate browser profile or private window.|你将以业主身份开始，准备好后可用私人链接邀请设计师。若想独自体验两种角色，请在独立浏览器配置或隐私窗口中打开邀请链接。
← My projects|← 我的项目
Project|项目
Explore|探索
Brief readiness|简报完成度
Your confirmed design preferences|已确认的设计偏好
Your next step|你的下一步
Invite my designer|邀请我的设计师
Refresh shared changes|刷新协作更新
Private designer invitation link|设计师私人邀请链接
Workspace views|工作区视图
Build your brief|完善简报
Shared brief|共享简报
History & usage|历史与使用记录
The conversation|双方对话
A shared point of view|共同的设计想法
Latest exchanges|最新交流
Human input|人工输入
Designer constraint|设计师约束
Constraint category|约束类别
Severity|重要程度
Advisory|建议
Important|重要
Critical — needs professional review|关键：需要专业审核
What must the design account for?|设计必须考虑哪些条件？
e.g. Keep a 900 mm clear route to the balcony|例如：保留通往阳台的 900 毫米净通道
Affected preference|受影响的偏好
Incompatible value|不兼容的偏好值
e.g. open_flow|例如：open_flow（开放动线）
Add constraint|添加约束
Design references|设计参考
Supporting context|支持性资料
Homeowner preferences|业主偏好
Your inspiration|你的灵感
Project goals|项目目标
One goal per line|每行填写一个目标
Must avoid|必须避免
One item per line|每行填写一项
Save goals|保存目标
Start with a note, or add a reference image. Tell us which part you like or dislike. You can save up to 10 references.|先写一段话，或者添加参考图片。说明喜欢或不喜欢哪些部分。最多保存十条参考。
Inspiration image (optional)|灵感图片（可选）
What do you like or dislike?|你喜欢或不喜欢什么？
e.g. I like light oak, but not marble|例如：我喜欢浅橡木，但不喜欢大理石
I have permission to use this reference or note for AI-assisted analysis.|我有权使用这份参考或笔记进行 AI 辅助分析。
Add reference|添加参考
Suggest preferences from notes|从笔记中提议偏好
Use offline note rules instead|使用本地笔记分析
Versioned deliverable|带版本的交付内容
Shared Design Brief|共享设计简报
Export JSON|导出 JSON
Human approval gate|双方人工确认
Confirm the same brief|确认同一份简报
Any later edit clears both approvals.|之后任何内容修改都需要双方重新确认。
Approve as homeowner|以业主身份确认
Approve as designer|以设计师身份确认
Print / Save PDF|打印 / 保存 PDF
Revise a decision|修改决定
Decision|设计决定
Confirmed value|确认的偏好值
Save revision|保存修改
Append-only record|只追加的历史记录
Project activity|项目动态
Workflow entries record state changes. Model runs below show actual inference; other messages are rule-based coordination.|流程记录保存状态变化。下方模型记录展示实际推理，其他消息属于规则协调。
SINGAPORE HOME FILE|新加坡住宅档案
Close home details|关闭住宅详情
A side-by-side look.|并排看看，找到差异。
Close comparison|关闭对比
Different perspectives. A shared direction.|不同视角，共同方向。
AlignSpace is a requirements-alignment aid, not construction, structural, electrical, regulatory or availability advice.|AlignSpace 用于协助对齐需求，不能代替施工、结构、电气、法规或材料供应方面的专业意见。
MAKE IT CLEAR. MAKE IT YOURS.|说明白，做自己。
Reviewing your notes… This can take up to a minute.|正在阅读你的笔记…可能需要一分钟。
Saving your changes…|正在保存修改…
Something went wrong|出了点问题
Your design language will take shape here, one decision at a time.|每确认一个决定，你的设计语言都会在这里更清楚。
A moment to reflect|停一停，回顾一下
Your answers are saved. Come back whenever you like.|答案已保存，随时可以回来继续。
Ten more decisions made. Would you like to go deeper?|这一轮已经完成，想继续深入吗？
Continue with up to 10 more questions shaped by your answers, or review your brief now. More detail is optional.|可以继续回答最多十道基于已有答案的细节问题，也可以现在查看简报。深入程度由你决定。
Continue exploring|继续探索
Review my brief|查看我的简报
Interview complete|当前问题已完成
The brief is ready for both people to review.|简报已准备好，双方可以一起审阅。
Your answers are saved. Your designer may still have decisions to review.|答案已保存，设计师可能还有需要确认的决定。
